Listing_URL,Address,Price,Bedroom,Bathroom,Sqft,Query_Zip_Code,Query_Miles,Longitude,Latitude,Query_Date
https://sfbay.craigslist.org/eby/apa/d/oakland-months-cash-credit-on-water/7698185034.html,"40 HARRISON, OAKLAND, CA 94607",2072,0,1,521,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-open-now-small-1bdrm-studio/7694273174.html,"campbell, oakland, CA 94607",1600,1,1,500,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-complete-package-of-modern/7695492321.html,"669 24th St, Oakland, CA 94607",2480,5,2,1140,94607,1.0,-122.273384,37.814599,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-iconic-the-moran-living-with/7698078238.html,"570 21st Street, Oakland, CA 94612",2702,2,2,928,94607,1.0,-122.270976,37.811004,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-carefully-renovated-4br-35ba/7697475713.html,Unknown,5200,4,3,1833,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-just-what-youre-looking-for/7697548809.html,"2618 Martin Luther King Jr Way Unit C, Oakland, CA 94612",1311,0,1,266,94607,1.0,-122.272414,37.816736,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-an-invitation-to-explore-open/7696119343.html,"1614 Campbell Street, Oakland, CA, USA, West Oakland, CA 94607",2276,1,1,960,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-chic-uptown-condo-in-the/7697509582.html,"438 West Grand #604, Oakland, CA 94612",4750,3,2,1760,94607,1.0,-122.268172,37.811906,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-explore-lampwork-lofts-open/7696110874.html,"1614 Campbell Street, Oakland, CA, USA, West Oakland, CA 94607",1469,0,1,380,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-bed-bath-ready-to-view-now/7695173514.html,"2000 Linden Street Unit 19, Oakland, CA 94607",1616,1,1,475,94607,1.0,-122.282843,37.813536,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-spacious-modern-living/7697881197.html,"1919 Market Street, Oakland, CA 94607",2667,3,2,1042,94607,1.0,-122.279935,37.812137,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-come-home-to-5th-street-lofts/7693394260.html,"1155 5th Street, oakland, CA 94607",2467,0,1,1350,94607,1.0,-122.289155,37.803044,2023-16-12
